rules,名称,房间,租金(元/月),面积(㎡),单位面积价格,楼层,当前楼层,总楼层,是否顶层,朝向,小区/公寓,小区地图最低价,小区地图房源数,租住类型,户型,位置/地铁,地铁线,地铁站,步行距离(米),骑行通勤,优惠信息,是否优惠,产品版本,是否可短签,是否价格标红,标签,复式,独立阳台,状态,是否可预订,入住时间,预计可入住日期,最多签至,图片链接,block,favorites,房源ID
✅,合租·兰园3居·03卧,03卧,2690.00,12.09,222.50,6/6层,6,6,✅,朝东,兰园,2623.00,3,合租,3居,距16号线马连洼站步行约221米,16号线,马连洼站,221,13,3日签约限时立减｜0.3个月租金,✅,友家7.0,,✅,友家7.0、3日签约限时立减｜0.3个月租金、独立阳台、干湿分离、双地铁,,✅,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/07368ccf-20a9-4182-a55a-30e4a7bcc1aa.jpeg_C_240_180_Q90.jpeg,,,合租·兰园3居·03卧12.09㎡
,合租·唐家岭新城3居·01卧,01卧,2390.00,10.74,222.53,2/19层,2,19,,朝南,唐家岭新城,2027.00,4,合租,3居,距16号线永丰南站步行约2920米,16号线,永丰南站,2920,19,,,友家7.0,,,友家7.0、有飘窗、封闭式厨房、近公园,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/6837bf1a-ecd4-42f8-8a4e-16644201b134.jpeg_C_240_180_Q90.jpeg,,,合租·唐家岭新城3居·01卧10.74㎡
,合租·唐家岭新城3居+·03卧,03卧,2090.00,9.30,224.73,13/19层,13,19,,朝北,唐家岭新城,2027.00,4,合租,3居+,距16号线永丰南站步行约3055米,16号线,永丰南站,3055,19,租金折扣,✅,,,✅,租金折扣、封闭式厨房、近公园、燃气做饭,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/db800be0-9492-46c3-8bf2-1a0af9f19b23.jpeg_C_240_180_Q90.jpeg,,,合租·唐家岭新城3居+·03卧9.3㎡
✅,合租·唐家岭新城3居·03卧,03卧,2590.00,11.40,227.19,13/17层,13,17,,朝南,唐家岭新城,2027.00,4,合租,3居,距18号线上地软件园站步行约2992米,18号线,上地软件园站,2992,19,,,友家7.0,,,友家7.0、独立阳台、封闭式厨房、近公园、燃气做饭,,✅,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/881293cb-3e67-45f0-a957-be27a6d63ebb.jpeg_C_240_180_Q90.jpeg,,,合租·唐家岭新城3居·03卧11.4㎡
✅,合租·菊园3居·01卧,01卧,2890.00,12.52,230.83,6/6层,6,6,✅,朝南,菊园,2530.00,4,合租,3居,距18号线上地软件园站步行约1476米,18号线,上地软件园站,1476,17,3日签约限时立减｜0.5个月租金,✅,友家7.0,,✅,友家7.0、3日签约限时立减｜0.5个月租金、独立阳台、封闭式厨房、近商场,,✅,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/a4981f06-eccc-46f8-8c8c-98ff4a470430.jpeg_C_240_180_Q90.jpeg,,,合租·菊园3居·01卧12.52㎡
,合租·紫成嘉园3居+·05卧,05卧,2790.00,11.90,234.45,6/6层,6,6,✅,朝北,紫成嘉园,2425.00,4,合租,3居+,距16号线农大南路站步行约1828米,16号线,农大南路站,1828,20,,,友家7.0,,,友家7.0、封闭式厨房、近商场、近公园、最多签至2027/02/04,,,可预订,✅,预计05-15可入住,05-15,2027/02/04,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/723f19f1-ff9b-4c16-83bf-dd70d0bf9925.png_C_240_180_Q90.png,,,合租·紫成嘉园3居+·05卧约11.9㎡
✅,合租·梅园3居·01卧,01卧,3030.00,12.80,236.72,1/6层,1,6,,朝南,梅园,2124.00,4,合租,3居,距16号线马连洼站步行约791米,16号线,马连洼站,791,18,3日签约限时立减｜0.3个月租金,✅,,,✅,3日签约限时立减｜0.3个月租金、独立阳台、封闭式厨房、双地铁、商场环绕,,✅,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/e93f4994-6337-4c35-8c44-1f0938449848.jpeg_C_240_180_Q90.jpeg,,,合租·梅园3居·01卧12.8㎡
,合租·图景嘉园3居·01卧,01卧,2530.00,10.64,237.78,7/17层,7,17,,朝南,图景嘉园,2289.00,7,合租,3居,距16号线西北旺站步行约2538米,16号线,西北旺站,2538,15,3日签约限时立减｜0.5个月租金,✅,,,✅,3日签约限时立减｜0.5个月租金、有飘窗、封闭式厨房、近公园,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/1e346509-eb6d-4eb6-b943-893c5b6024b1.jpeg_C_240_180_Q90.jpeg,,,合租·图景嘉园3居·01卧10.64㎡
,合租·兰园3居·02卧,02卧,2890.00,12.10,238.84,2/6层,2,6,,朝西,兰园,2623.00,3,合租,3居,距16号线马连洼站步行约221米,16号线,马连洼站,221,13,,,,,,快递可上门、软包床、近超市,,,可预订,✅,预计05-16可入住,05-16,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/1010fa71-ec31-415e-a839-ac24b0a8efad.jpeg_C_240_180_Q90.jpeg,,,合租·兰园3居·02卧约12.1㎡
,合租·肖家河新村东区3居·03卧,03卧,2590.00,10.80,239.81,6/10层,6,10,,朝北,肖家河新村东区,2590.00,2,合租,3居,距16号线农大南路站步行约48米,16号线,农大南路站,48,22,,,,,,封闭式厨房、新小区、商场环绕、最多签至2026/10/17,,,可预订,✅,预计05-19可入住,05-19,2026/10/17,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/40b33653-4846-4cd6-8e83-9511b3945081.jpeg_C_240_180_Q90.jpeg,,,合租·肖家河新村东区3居·03卧10.8㎡
,合租·春晖园3居·03卧,03卧,2390.00,9.90,241.41,1/6层,1,6,,朝北,春晖园,2138.00,5,合租,3居,距16号线西北旺站步行约1109米,16号线,西北旺站,1109,10,3日签约限时立减｜1个月租金,✅,,✅,✅,3日签约限时立减｜1个月租金、封闭式厨房、燃气做饭、可短签3-6个月,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/b3f2dab8-0bab-4681-b88e-757a615bbaf3.jpeg_C_240_180_Q90.jpeg,,,合租·春晖园3居·03卧9.9㎡
,合租·图景嘉园3居·02卧,02卧,2360.00,9.60,245.83,11/17层,11,17,,朝北,图景嘉园,2289.00,7,合租,3居,距16号线永丰南站步行约2517米,16号线,永丰南站,2517,15,租金折扣,✅,,,✅,租金折扣、干湿分离、封闭式厨房、近公园,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/b9921af5-6adc-4151-b37c-9751c3cd983f.jpeg_C_240_180_Q90.jpeg,,,合租·图景嘉园3居·02卧9.6㎡11/17层
,合租·图景嘉园2居·02卧,02卧,2360.00,9.60,245.83,11/17层,11,17,,朝北,图景嘉园,2289.00,7,合租,2居,距16号线西北旺站步行约2579米,16号线,西北旺站,2579,15,,,友家7.0,,,友家7.0、软包床、封闭式厨房、近公园,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/9e0d386d-7861-4080-82f0-1a1fe154b392.jpeg_C_240_180_Q90.jpeg,,,合租·图景嘉园2居·02卧9.6㎡
,合租·梅园3居·02卧,02卧,2490.00,10.02,248.50,6/6层,6,6,✅,朝北,梅园,2124.00,4,合租,3居,距16号线马连洼站步行约612米,16号线,马连洼站,612,18,租金折扣,✅,友家7.0,,✅,友家7.0、租金折扣、双地铁、商场环绕、近公园,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/cd51f890-a594-4407-ab9f-ba35958a23a2.jpeg_C_240_180_Q90.jpeg,,,合租·梅园3居·02卧10.02㎡
,合租·图景嘉园3居·02卧,02卧,2390.00,9.60,248.96,12/17层,12,17,,朝北,图景嘉园,2289.00,7,合租,3居,距16号线永丰南站步行约2576米,16号线,永丰南站,2576,15,,,友家7.0,,,友家7.0、封闭式厨房、近公园、燃气做饭,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/e147dffe-d74a-48a6-81cc-4ea8898dfe87.jpeg_C_240_180_Q90.jpeg,,,合租·图景嘉园3居·02卧9.6㎡12/17层
,合租·冬晴园3居·01卧,01卧,3460.00,13.80,250.72,3/6层,3,6,,朝南,冬晴园,3316.00,1,合租,3居,距16号线西北旺站步行约1075米,16号线,西北旺站,1075,8,3日签约限时立减｜0.5个月租金,✅,友家7.0,,✅,友家7.0、3日签约限时立减｜0.5个月租金、独立阳台、封闭式厨房、燃气做饭,,✅,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/00c4330d-ee4b-4d5b-8cae-4b30ec87af70.jpeg_C_240_180_Q90.jpeg,,,合租·冬晴园3居·01卧13.8㎡
,合租·秋露园2居·01卧,01卧,3190.00,12.70,251.18,5/6层,5,6,,朝南,秋露园,2935.00,1,合租,2居,距16号线西北旺站步行约694米,16号线,西北旺站,694,12,3日签约限时立减｜租金92折,✅,,,✅,3日签约限时立减｜租金92折、独立阳台、软包床、封闭式厨房、燃气做饭,,✅,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/0bf7a4d7-a58b-45fb-b56a-4d01fda7f9a6.jpeg_C_240_180_Q90.jpeg,,,合租·秋露园2居·01卧12.7㎡
,合租·夏霖园3居·01卧,01卧,3260.00,12.92,252.32,2/6层,2,6,,朝南,夏霖园,2490.00,4,合租,3居,距16号线西北旺站步行约895米,16号线,西北旺站,895,11,,,友家7.0,,,友家7.0、独立阳台、封闭式厨房、燃气做饭,,✅,可预订,✅,预计05-13可入住,05-13,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/fa135172-5611-44b9-87c6-afad0bf99054.jpeg_C_240_180_Q90.jpeg,,,合租·夏霖园3居·01卧约12.92㎡
,合租·柳浪家园北里3居·01卧,01卧,2760.00,10.86,254.14,1/9层,1,9,,朝南,柳浪家园北里,2760.00,1,合租,3居,距18号线上地软件园站步行约1882米,18号线,上地软件园站,1882,19,,,,,,软包床、封闭式厨房、近商场,,,可预订,✅,预计05-14可入住,05-14,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/c11cb3a1-06db-414d-901e-131273ff2645.jpeg_C_240_180_Q90.jpeg,,,合租·柳浪家园北里3居·01卧约10.86㎡
✅,合租·图景嘉园3居·03卧,03卧,2590.00,10.10,256.44,11/17层,11,17,,朝南,图景嘉园,2289.00,7,合租,3居,距16号线永丰南站步行约2576米,16号线,永丰南站,2576,15,,,,,,独立阳台、封闭式厨房、近公园,,✅,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/726c133e-26c5-4788-b569-17d6a0687048.jpeg_C_240_180_Q90.jpeg,,,合租·图景嘉园3居·03卧10.1㎡
,合租·中海枫涟山庄3居·03卧,03卧,3130.00,12.01,260.62,9/9层,9,9,✅,朝北,中海枫涟山庄,2630.00,2,合租,3居,距16号线西北旺站步行约559米,16号线,西北旺站,559,13,,,友家7.0,,,友家7.0、燃气做饭,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/d087e8bd-5be0-4e82-8a93-c2af07e468e3.jpeg_C_240_180_Q90.jpeg,,,合租·中海枫涟山庄3居·03卧12.01㎡
✅,合租·春晖园3居·01卧,01卧,3090.00,11.56,267.30,6/6层,6,6,✅,朝南,春晖园,2138.00,5,合租,3居,距16号线西北旺站步行约1028米,16号线,西北旺站,1028,10,,,友家7.0,,,友家7.0、独立阳台、有落地窗、软包床、封闭式厨房,,✅,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/39889e8c-16f0-4679-8738-c43a2cfea205.jpeg_C_240_180_Q90.jpeg,,,合租·春晖园3居·01卧11.56㎡
,合租·菊园2居·02卧,02卧,2690.00,9.98,269.54,6/6层,6,6,✅,朝东,菊园,2530.00,4,合租,2居,距18号线上地软件园站步行约1394米,18号线,上地软件园站,1394,17,,,友家7.0,,,友家7.0、软包床、封闭式厨房、近商场,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/eb179126-5864-4523-9654-b8c613d47dc6.jpeg_C_240_180_Q90.jpeg,,,合租·菊园2居·02卧9.98㎡
,合租·润千秋佳苑3居+·02卧,02卧,3490.00,12.94,269.71,9/9层,9,9,✅,朝东,润千秋佳苑,3490.00,1,合租,3居+,距16号线马连洼站步行约336米,16号线,马连洼站,336,13,,,友家7.0,,,友家7.0、有飘窗、大容量衣柜、复式下层,✅,,可预订,✅,预计06-01可入住,06-01,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/e0ae0bf6-738a-48f6-a8d7-6dc26a379831.jpeg_C_240_180_Q90.jpeg,,,合租·润千秋佳苑3居+·02卧12.94㎡
,合租·春晖园3居·02卧,02卧,2590.00,9.60,269.79,6/9层,6,9,,朝北,春晖园,2138.00,5,合租,3居,距16号线西北旺站步行约1122米,16号线,西北旺站,1122,10,,,友家7.0,,,友家7.0、软包床、封闭式厨房、燃气做饭、最多签至2026/12/23,,,,,,,2026/12/23,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/0c408699-e8a6-4dc2-b767-0a5217c61369.jpeg_C_240_180_Q90.jpeg,,,合租·春晖园3居·02卧9.6㎡
,合租·百旺茉莉园3居+·05卧,05卧,3190.00,11.82,269.88,4/5层,4,5,,朝南,百旺茉莉园,3190.00,3,合租,3居+,距16号线西北旺站步行约476米,16号线,西北旺站,476,14,,,友家7.0,,,友家7.0、有储物间、有落地窗、封闭式厨房,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/74fc2282-05dd-4f8b-a849-f28b309e2c5b.jpeg_C_240_180_Q90.jpeg,,,合租·百旺茉莉园3居+·05卧11.82㎡
,合租·夏霖园3居·03卧,03卧,2490.00,9.10,273.63,4/6层,4,6,,朝北,夏霖园,2490.00,4,合租,3居,距16号线西北旺站步行约813米,16号线,西北旺站,813,11,,,,,,燃气做饭、最多签至2026/11/28,,,,,,,2026/11/28,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/7f2d9223-b0e4-4007-9b00-f2c05409cc6e.jpeg_C_240_180_Q90.jpeg,,,合租·夏霖园3居·03卧9.1㎡
,合租·图景嘉园3居·02卧,02卧,2530.00,9.20,275.00,9/15层,9,15,,朝北,图景嘉园,2289.00,7,合租,3居,距16号线西北旺站步行约2653米,16号线,西北旺站,2653,15,,,友家7.0,,,友家7.0、封闭式厨房、近公园、燃气做饭,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/5abd2ca3-0940-495e-bcfd-43ca99d879eb.jpeg_C_240_180_Q90.jpeg,,,合租·图景嘉园3居·02卧9.2㎡
,合租·夏霖园2居·02卧,02卧,2790.00,10.00,279.00,5/6层,5,6,,朝南,夏霖园,2490.00,4,合租,2居,距16号线西北旺站步行约856米,16号线,西北旺站,856,11,,,友家7.0,,,友家7.0、封闭式厨房,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/1cabc44f-6675-4f44-95e1-d0c9bc37cbb6.jpeg_C_240_180_Q90.jpeg,,,合租·夏霖园2居·02卧10㎡
,合租·夏霖园3居·03卧,03卧,2990.00,10.50,284.76,1/6层,1,6,,朝南,夏霖园,2490.00,4,合租,3居,距16号线西北旺站步行约813米,16号线,西北旺站,813,11,,,,,,封闭式厨房、燃气做饭、最多签至2026/12/07,,,可预订,✅,预计05-14可入住,05-14,2026/12/07,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/bd82f62f-56d7-4f86-a03b-ec8ab5077ae2.jpeg_C_240_180_Q90.jpeg,,,合租·夏霖园3居·03卧约10.5㎡
,合租·兰园3居·02卧,02卧,2730.00,9.49,287.67,6/6层,6,6,✅,朝西,兰园,2623.00,3,合租,3居,距16号线马连洼站步行约221米,16号线,马连洼站,221,13,,,友家7.0,,,友家7.0、软包床、干湿分离、双地铁,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/d57565e2-1c2b-49c9-b860-35e753acf79f.jpeg_C_240_180_Q90.jpeg,,,合租·兰园3居·02卧9.49㎡
,合租·春晖园3居·02卧,02卧,2290.00,7.90,289.87,1/6层,1,6,,朝北,春晖园,2138.00,5,合租,3居,距16号线西北旺站步行约1109米,16号线,西北旺站,1109,10,3日签约限时立减｜0.8个月租金,✅,,,✅,3日签约限时立减｜0.8个月租金、封闭式厨房、燃气做饭,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/7a27961d-5f1d-4297-935c-123d195d8e95.jpeg_C_240_180_Q90.jpeg,,,合租·春晖园3居·02卧7.9㎡
,合租·中海枫涟山庄3居·03卧,03卧,2630.00,9.04,290.93,2/9层,2,9,,朝北,中海枫涟山庄,2630.00,2,合租,3居,距16号线西北旺站步行约559米,16号线,西北旺站,559,13,,,友家7.0,,,友家7.0、燃气做饭,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/a583af2f-6523-4f83-84a2-ca2bdb0af602.jpeg_C_240_180_Q90.jpeg,,,合租·中海枫涟山庄3居·03卧9.04㎡
,合租·图景嘉园3居·02卧,02卧,2330.00,8.00,291.25,5/17层,5,17,,朝北,图景嘉园,2289.00,7,合租,3居,距16号线西北旺站步行约2538米,16号线,西北旺站,2538,15,,,友家7.0,,,友家7.0、干湿分离、封闭式厨房、近公园,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/cc3c9606-af18-40c4-9d3d-0a3a3f64274c.jpeg_C_240_180_Q90.jpeg,,,合租·图景嘉园3居·02卧8㎡
,合租·紫成嘉园3居+·01卧,01卧,3260.00,10.86,300.18,6/6层,6,6,✅,朝南,紫成嘉园,2425.00,4,合租,3居+,距16号线农大南路站步行约1828米,16号线,农大南路站,1828,20,,,友家7.0,,,友家7.0、独立卫生间、有落地窗、软包床、封闭式厨房,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/9cc18b75-16c4-4fcd-a2d9-616a1c8c31e0.jpeg_C_240_180_Q90.jpeg,,,合租·紫成嘉园3居+·01卧10.86㎡
,合租·梅园3居·02卧,02卧,2690.00,8.95,300.56,6/6层,6,6,✅,朝北,梅园,2124.00,4,合租,3居,距16号线马连洼站步行约791米,16号线,马连洼站,791,18,,,友家7.0,,,友家7.0、独立阳台、封闭式厨房、双地铁、商场环绕,,✅,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/94269bb6-9577-43ea-8262-b328f24dd543.jpeg_C_240_180_Q90.jpeg,,,合租·梅园3居·02卧8.95㎡
,合租·肖家河新村东区3居·01卧,01卧,3230.00,10.69,302.15,6/10层,6,10,,朝南,肖家河新村东区,2590.00,2,合租,3居,距16号线农大南路站步行约48米,16号线,农大南路站,48,22,,,,,,独立阳台、有落地窗、封闭式厨房、新小区、最多签至2026/09/22,,✅,,,,,2026/09/22,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/a647cb85-a2c9-4d92-bee1-ae353389eed6.jpeg_C_240_180_Q90.jpeg,,,合租·肖家河新村东区3居·01卧10.69㎡
,合租·唐家岭新城3居+·01卧,01卧,3730.00,12.10,308.26,13/19层,13,19,,朝南,唐家岭新城,2027.00,4,合租,3居+,距16号线永丰南站步行约3055米,16号线,永丰南站,3055,19,租金折扣,✅,,,✅,租金折扣、独立卫生间、有飘窗、封闭式厨房、近公园,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/c31f1a32-04e3-49b0-9ea3-8812fc3ca805.jpeg_C_240_180_Q90.jpeg,,,合租·唐家岭新城3居+·01卧12.1㎡
,合租·春晖园3居·03卧,03卧,2530.00,8.09,312.73,2/6层,2,6,,朝北,春晖园,2138.00,5,合租,3居,距16号线西北旺站步行约999米,16号线,西北旺站,999,10,,,,,,封闭式厨房、燃气做饭,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/a980a510-e159-499d-8cbd-6a7c2674aca4.jpeg_C_240_180_Q90.jpeg,,,合租·春晖园3居·03卧8.09㎡
,合租·菊园3居·03卧,03卧,2530.00,7.75,326.45,3/6层,3,6,,朝北,菊园,2530.00,4,合租,3居,距18号线上地软件园站步行约1371米,18号线,上地软件园站,1371,17,,,友家7.0,,,友家7.0、软包床、近商场、近公园,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/2ce9e283-badf-4559-9dca-c6775e2123dc.jpeg_C_240_180_Q90.jpeg,,,合租·菊园3居·03卧7.75㎡
,合租·圆明园西路3号院3居·03卧,03卧,2130.00,6.32,337.03,4/5层,4,5,,朝西,圆明园西路3号院,2130.00,3,合租,3居,距16号线农大南路站步行约188米,16号线,农大南路站,188,23,,,,,,商场环绕、燃气做饭、最多签至2027/02/22,,,,,,,2027/02/22,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/8ce87292-c72e-49fc-8ab0-4a71fbc7aaea.jpeg_C_240_180_Q90.jpeg,,,合租·圆明园西路3号院3居·03卧6.32㎡
,合租·景和园3居·03卧,03卧,2760.00,7.72,357.51,5/6层,5,6,,朝北,景和园,2760.00,1,合租,3居,距16号线西北旺站步行约857米,16号线,西北旺站,857,10,,,友家7.0,,,友家7.0、封闭式厨房、燃气做饭,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/d19dce3e-75f6-4906-a293-88f5ba118b06.jpeg_C_240_180_Q90.jpeg,,,合租·景和园3居·03卧7.72㎡
,合租·东馨园3居·03卧,03卧,2190.00,6.10,359.02,1/6层,1,6,,朝北,东馨园,2190.00,1,合租,3居,距18号线上地软件园站步行约646米,18号线,上地软件园站,646,11,,,友家7.0,,,友家7.0、封闭式厨房、燃气做饭,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/68344b82-1c02-46cf-80fb-c4e51bf27a9e.jpeg_C_240_180_Q90.jpeg,,,合租·东馨园3居·03卧6.1㎡
